Timestamp	How confident are you in the advice process?	In a sentence or two, say more about your confidence rating.	Complete this sentence: "An idea I have for helping all of us become more confident in the advice process is..."
6/23/2022 10:14:34	7		To try it out
6/23/2022 10:14:34	8	I usually try to explore the problem space from multiple angles, so my advice is based on well considered scenarios (without falling into Analysis Paralysis)	Spend more time up-front exploring the domain, and considering 'multiple angles'
6/23/2022 10:14:35	7	Confident depending on the complexity of the problem and the understanding of the context.	More expertise and better understanding of the context.
6/23/2022 10:14:35	7	Good advice will be followed more often than you might think: people are not stupid	Try it out in in a bounded domain, all decisions within that domain can follow the advice process
6/23/2022 10:14:35	7	If it’s well explained, it could be working	Use written and asynchronous tools to seek for advices
6/23/2022 10:14:35	9	I believe this will allow to scale decision making and allow people to do their best work on their teams. 	Get people to try it... Architects and managers change focus and focus on facilitating the conversations, adding elements that are needed for the specific context of the org. People will see and increase confidence on the process. 
6/23/2022 10:14:35	3	Low because there a no validation 	having the final decision validated by a set of pre-selected people 
6/23/2022 10:14:35	8	I think there are risks with this approach, but there are risks with every approach. I think this is a good way forward that is scalable and fits with the zeitgeist 	Transparency
6/23/2022 10:14:36	8	The amount of advice to be considered must be situational. This creates communication load on advice seeker and givers.   Advice does not take away responsibility - one must take ownership / accountability for decisions based on advice. 	
6/23/2022 10:14:36	8	I love the idea but for me it all comes down to the team	Do it more often maybe in a form of role playing 
6/23/2022 10:14:36	7	It promotes team autonomy and ownership. It should be paired with schooling and guidance to prevent stagnation of solutions.	To embed teams in the broader development plans for the future.
6/23/2022 10:14:37	6	I give a lot of advices but I have often focus shifts, what is bad for my productivity 	
6/23/2022 10:14:37	9	I feel like it could work extremely well in teams that are self aware (and reflective) about their skills and are ready to be held accountable for the decisions they made.	accepting that it’s okay to make “bad” decisions, if we learn from them and improve that’s all that matters
6/23/2022 10:14:37	8	The advice I have given so far has led to good results for my teams 	Starting to experiment with it in low risk tasks until the entire team gets acquainted with the mechanics 
6/23/2022 10:14:38	3	Low because there a no validation 	having the final decision validated by a set of pre-selected people 
6/23/2022 10:14:38	7	It can work well in mature enough teams. But doesn’t every team think they’re mature?	Have a set of heuristics to decide whether the team is mature enough.
6/23/2022 10:14:38	7	Not afraid to ask questions to get to a common understanding of the problem 	An open and inclusive culture
6/23/2022 10:14:38	7	I think people to want to take advice into consideration. But finding and getting advice and talking to people is a lot of hard work, when you can just do your own thing instead. 	Trust people to step up to the occasion. 
6/23/2022 10:14:40	7	Diverse complex decisions are better Unfortunately, it’s going to be tricky to get people to adhere to the advise process	Pair and mob programming Liberating structures Decision records Rollbackable decisions (refactoring!! )
6/23/2022 10:14:40	7	good but working on communication skills	empathy, listening (in bold) and effective communication
6/23/2022 10:14:42	10	Gut feeling 	Declare it as an experiment and just try it and see if it’s better than the current solution 
6/23/2022 10:14:42	5	It totally depends on the situation 	Find a way to unify/share the knowledge gained
6/23/2022 10:14:42	7	You never know what others know and what is their context. Very little people see what is the bigger picture focusing on their daily stuff. So you don't know what you're missing when advising and if everyone is at the same level of understanding.	Shared big picture, shared space for decision-making. Simple unobtrusive governance.
6/23/2022 10:14:42	6	You can have very good advices from some team members but also been under watered by non efficient advices	Always answer an advice by a positive thing even if we don’t agree
6/23/2022 10:14:43	9	Rate based on my current team that I trust and know well.	- Weekly meetings to reinforce and align directions - Proper induction to the team process so the person is not treated as lower value - As an architect show from the bery begin you are a part of the team and you have equal voice than other team members
6/23/2022 10:14:43	7	7 for team empowerment and giving control back missing 3 for more decision sharing from teams. They have tendency to forget about communication  	Openness and transparency 
6/23/2022 10:14:43	7	In some groups it might work better, in others not	just try it and reflect 
6/23/2022 10:14:44	8	Really powerful to empower teams to move forward without being blocked by powerpoint  architect	Share a limited number of cross-team priorities helping to prioritize the time of experts that should provide advices
6/23/2022 10:14:44	8	Im confident that others and together you get the best disicion. Lik in deepdemocray	Read the book deepdemocracy
6/23/2022 10:14:44	5	People won't want to seek advice from everyone 	Restrict seeking advice to the feature team and optionally an obviously big stakeholder
6/23/2022 10:14:44	8	I am confident on the good will of the advisors, but I am not sure they will have enough time to understand the full context 	The workload shouldn't be overwhelming. People need to have time to do their usual tasks, + all the other things we expect from them.
6/23/2022 10:14:45	8	decision-makers are often biased	Advice to people who trust you
6/23/2022 10:14:46	9	All advice is welcome because even the worst advice is advice you know you don't want to implement.	To trust the process 
6/23/2022 10:14:46	6	There are many factors that need to be considered in an advice process and thus my confidence rating is average	To make everybody feel really free to share their thoughts
6/23/2022 10:14:46	8	The process is good atm but as the company scales it could be problematic.	Can make it better by making the expertise sharing part asynchronous or indirect. I.e with good documentation or just regular knowledge sharing.
6/23/2022 10:14:46	8		Having tolerance for mistakes
6/23/2022 10:14:46	7	I think I'm good at collecting the input and combining it into a solution. Less good at dealing with conflicts between stakeholders 	Practice 
6/23/2022 10:14:47	8		just live it.
6/23/2022 10:14:48	9	Allows you to collect useful insights 	Define scoping and some ground rules
6/23/2022 10:14:48	6	For the reasons mentioned: lack of trust, slowing things down gathering all this advice instead of speeding things up	explaining to everyone who you can reach out to for advice on what topic, set up a feedback loop on decisions made, foster a trustful environment 
6/23/2022 10:14:49	9	I understand by advice also invitation, that is a powerful process. You offer data and perspective, not pushing. What I think we need to be careful about is the process: watch out to not offer unsolicited advice 	Collaborative decision making : offer and address objections to a decision 
6/23/2022 10:14:49	3		Confidence is driven by results. So great results will boost confidence.
6/23/2022 10:14:49	7	There are some requisits to exist in advance, in order to have such advice environment.	
6/23/2022 10:14:49	9	Once we trust our colleagues I’m sure their a giving their best advice at that moment. The key, in my opinion, is to be iterative and leave big decisions to be made ONLY when needed. To be close to the business is key to gather quality advice. But I’m confident that we as team can listen to advices and come up with great decisions.	Make decisions together. Get close to the problem. Understand the problem. Leave no questions behind.
6/23/2022 10:14:49	9	You're playing the telephone game sometimes. The context where the decision was taken may differ from the explanation you receive while asked for advice. 	All actors, or the majority of it, participate in the making
6/23/2022 10:14:50	7	I think it is a great idea, and believe it is the right way to go about working. But, I think in practice it won’t always work out well.	Teams need to know who the “affected parties” and “experts” are. Similar to a language glossary or wiki, some kind of similar product/organisation glossary will help understand who people and teams are.
6/23/2022 10:14:50	5	Cool on paper, fragile to stick	Experiment it locally
6/23/2022 10:14:50	7		You learn from the mistakes of people that took your advice.
6/23/2022 10:14:51	7	I would give it a shot, but I’m still skeptical 	Form „circles“ of expertise, which act like first point of contact for advice seeking teams in a distinct topic. Maybe document these circles in a map.
6/23/2022 10:14:51	7	Takes to long, the experts needs time to understand projects. 	Make the expert part of the development process. Create an expert platform
6/23/2022 10:14:52	8	It works well when people are confident enough to ask "stupid" questions	Strong feedback/retrospective processes to improve upon previous less successful advice iterations 
6/23/2022 10:14:52	8	I'm confident it could be tested in my context in a limited scope and it would bring value (e.g. insights about the system itself)	Think about it in a smaller scope first (e.g. apply in part of org., apply in a certain area of decisions)
6/23/2022 10:14:52	9	We do it already, as i wrote before.	We make ADR (Architectural Decision Records) where we document: big picture, why, list the options, then mark who participated in meetings about, ask anyone who's interested to leave comments, and then we document what we decided and why. That becomes company's knowledge base. So even if it turns out to have been a bad decision, you can come back to it and learn from it.
6/23/2022 10:14:53	1	Externalising the decision making process to control freaks even if they’re experts doesn’t sound good	Upskill the team so that the advice is not needed and they feel empowered instead of directed
6/23/2022 10:14:53	7	Based on group decision, access to client is complicated	Having more data information your affiche process
6/23/2022 10:14:53	8	If eveybody has their nose in the same direction, I'm pretty confident the advice process would be a great thing to implement	huddle up and listen to everybody's concerns and tackle them. As we all know change is difficult
6/23/2022 10:14:53	8	Team Members are where the knowledge about the problem sits. They are in the best position to make a good decision.	to extend it with a decision review, where the decision made by the team is commented on by someone with good context knowledge.
6/23/2022 10:14:55	8	When I know what I'm talking about, I'm confident to give advice 	
6/23/2022 10:14:55	8	I think the advice is common sense, so its quite easy to he confident in it.	Realizing its not very ground breaking.
6/23/2022 10:14:56	8	More people know more then a few in basically all situations. The confidence grows automatically once the opportunity is there for anyone to participate 	Structure on what questions to ask and how to deal with feedback in a inclusive non offending way
6/23/2022 10:14:56	7	Variety of different clients working on our single solution! Really difficult to make everyone happy	Keep discussing, short feedback loop
6/23/2022 10:14:56	8	Because I am the CEO I take the responsibility anyway.	Good orgabizational "mistake culture", no fingerpointing 
6/23/2022 10:14:57	1	Does not work in all cultures. In Sweden people avoid decisions and conflicts 	
6/23/2022 10:14:58	4		Have heard the business experts and the team.
6/23/2022 10:14:58	8		Have some trust in all participants
6/23/2022 10:14:58	7	Starting small increases your confidence level because the amount of rework is limited in case it goes wrong	Having not to worry about making mistakes
6/23/2022 10:14:58	7	I don't know every aspect of my context	To having them near me in the advice process
6/23/2022 10:14:59	8	I have been a coach and consultant. You get used to not being the decision maker.	Distinguish between reversible (2-way door) and irreversible (1-way door decisions). The former can be made quickly with confidence and without participation from everyone, the latter should be well thought through and require as much consent as possible.
6/23/2022 10:14:59	7	I usually bave time to analyze problem and consult it with ppl.	No pressure. Give a time to understand and analyze the problem. 
6/23/2022 10:14:59	7	As already touched in the previous answers, what if I missen something	Make sure that one has a good understanding of the domain.
6/23/2022 10:15:00	8	I live in Sweden, it’s culture of consensus and flat hierarchy, that’s how most things work there. 	try it. Prototype 
6/23/2022 10:15:00	8	A lot of ground work and mentality needs to happen before, but it's possible!	To make sure we have buy in from the top
6/23/2022 10:15:00	3	Working in a traditional hierachy, so it's hard to get the trust 	Relax a bit and trust each other :)
6/23/2022 10:15:00	7	I am concerned that advice quality is low due to lack of accountability 	Creating advisory groups - accountability areas. 
6/23/2022 10:15:01	9	I have more experience and surrended by juniors developers	Encourage them to invest more
6/23/2022 10:15:01	7	It is something that could work, provided the culture and trust in the team pre-exist.	to establish trust in the team, and make the responsibilitiew of each person clearer.
6/23/2022 10:15:01	9	We basically practiced this in all teams I‘ve been part of (but didn‘t have a name for the process)	Hire the right people. Let senior people encourage juniors to give their ideas from the start. Give feedback.
6/23/2022 10:15:01	8	I do not trust in individuals making decisions, so advice sounds great.	to accept that wrong decisions will still be made and to strive to work for a culture where there is less fear of being blamed for it.
6/23/2022 10:15:01	8	It's untested, so need some experience. But I believe chaos foster innovation.	We should all try it, and when it is a great success, tell everyone else about it.
6/23/2022 10:15:01	9	We already do something similar, and have a great experience with it. The architects isn’t the bottleneck anymore	Loose control and trust people
6/23/2022 10:15:02	8	Ik work with skilled professionals that know what they know, most of the time	Be better aware of the skills in the team
6/23/2022 10:15:02	7		Make the expert network & team responsibility boundaries clearly visible to everyone
6/23/2022 10:15:02	8	It's scary to loose control, but in the end many people know more than you think	Be humble, know what you are good at and get rid of your ego.
6/23/2022 10:15:02	7	Are all decisions taken with best knowlegde pr sometimes only because a decision has to be taken? Also does this make a difference?	Keeping an approachable attitude. The more „fear“ I have of approaching somebody with „stupid questions“ the less likely I am to do it
6/23/2022 10:15:02	10	The development team shares the responsibility of the decision and is accountable for it. They have to understand it and embrace it. The outcom is far better and satisfying for everybody. 	Shared goal and accountability at the whole team level (dev, test, product, operations). Everybody is on the same boat. 
6/23/2022 10:15:03	4	A lack of practice 	More practice
6/23/2022 10:15:03	6	It depends on the team and how competent the they are 	
6/23/2022 10:15:03	8	The rate of success is totally dependent on the skills of all team members. But if all team members have the correct skills, this is a really powerful approach to decision making	Learn by doing
6/23/2022 10:15:04	7	I have doubts that the advice will actually be followed	To push tools such as the architecture advisory forum to provide a safe space to share one's problem and concerned parties + knowledgeable people to come to the "posting team" 
6/23/2022 10:15:05	7	Probably is empowering and working well up to a certain scope of architecture. Might not work so well at inter-system scope (consistency -wise)	Just try it out
6/23/2022 10:15:05	8	I love the emphasis on team autonomy! I think it would work well with some enabling constraints as well.	Demonstrating working software that is reliable and secure built through following the advice process to prove it can work and hopefully help people change their mental models
6/23/2022 10:15:05	5	The are some strong prerequisites for this process to work as expected 	A clear map of parties and experts, so you know who is in charge of decisions. A deadline for the decision process. A set of of clear rules to consider the decision taken or refused 
6/23/2022 10:15:06	6	Maybe the advice process come too early, and some iterations over the problem are necessary 	Giving a clear vision of what the problems and the consequences are
6/23/2022 10:15:06	7	I think the chaos can became a problem 	Periodical meetings to share the decisions accross teams 
6/23/2022 10:15:06	8	I think it will work in most of the scenarios, and possible problems will be related to individuals rather than teams	Share the question and advice among the whole team, so everyone has a common view 
6/23/2022 10:15:07	7		Avoid blaming. Make decision smaller so that an error isn't fatal
6/23/2022 10:15:07	8	Other approaches have drawbacks too, so don't focus too much on why it will not work	to seek advice from a pool of "experts" instead of individuals 
6/23/2022 10:15:07	9	I support conversations and feedbacks. It grows people, make them more mâture, and also more connected, and in the End more résilient together	Westrum organization
6/23/2022 10:15:07	9	In the long run, trusting people to improve their understanding of the problem and techniques to uncover problems/solutions while giving them time to do so. Is more efficient and will scale more.	Start by giving advice instead of commands and make it clear there’s a difference.
6/23/2022 10:15:07	8		Do just do it and evaluate during the proces. It is a process so it takes time to get comfortable with it
6/23/2022 10:15:07	8	Promotes autonomous teams and ownership. Not certain if chaos is will speed up flow in a long term	Measure results
6/23/2022 10:15:07	9	Rate based on my current team that I trust and know well.	- Weekly meetings to reinforce and align directions - Proper induction to the team process so the person is not treated as lower value - As an architect show from the bery begin you are a part of the team and you have equal voice than other team members
6/23/2022 10:15:08	7	Advice is based on what you know. Be informed to give the best possible advice , but try to be open in unknowns. One of the advantages in a non-toxic culture/environment	
6/23/2022 10:15:08	8	I think that you shoud make a difference between advices within a bounded context and decisions over bounded contexts. Within a bounded context it is fine to let a decision be made by the team	
6/23/2022 10:15:08	9	I’ve already successfully implemented this to some extend	Try to encourage people to take the responsibility for the decisions - all of us are architects
6/23/2022 10:15:08	7	When right experts are assigned, process works well. When environment is not experienced enough, this process can drive wrong decisions and put blame towards the people making decisions.	Make people comfortable to say: I don't feel confident making this decision
6/23/2022 10:15:09	5	Difficult to get everybody engaged	Experience
6/23/2022 10:15:09	6	Everybody needs to trust in each other	Trust and open mind
6/23/2022 10:15:09	10	I don't see how as an IC can be expected to care and support a system I'm not co-building. 	Ensure all decisions are properly documented. Context-wise, and trade offs are made explicit. So we as a community can learn from those decision
6/23/2022 10:15:09	10	It would be great to have feedback from everybody. All opinions matters and can give you new perspectives 	Let the team know that they will be seen by everybody and start right now!
6/23/2022 10:15:09	7	I don’t see any generic solution to make this work in every case, the solution depends on how the team interacts, so it’s about team culture and problem context	To listen closely before to speak 
